sub_field_name,sub_field_id,1970_all_avg,1971_all_avg,1972_all_avg,1973_all_avg,1974_all_avg,1975_all_avg,1976_all_avg,1977_all_avg,1978_all_avg,1979_all_avg,1980_all_avg,1981_all_avg,1982_all_avg,1983_all_avg,1984_all_avg,1985_all_avg,1986_all_avg,1987_all_avg,1988_all_avg,1989_all_avg,1990_all_avg,1991_all_avg,1992_all_avg,1993_all_avg,1994_all_avg,1995_all_avg,1996_all_avg,1997_all_avg,1998_all_avg,1999_all_avg,2000_all_avg,2001_all_avg,2002_all_avg,2003_all_avg,2004_all_avg,2005_all_avg,2006_all_avg,2007_all_avg,2008_all_avg,2009_all_avg,2010_all_avg,2011_all_avg,2012_all_avg,2013_all_avg,2014_all_avg,2015_all_avg,2016_all_avg,2017_all_avg,2018_all_avg,2019_all_avg,2020_all_avg,2021_all_avg,2022_all_avg,2023_all_avg,2024_all_avg,1970_sub_field_avg,1971_sub_field_avg,1972_sub_field_avg,1973_sub_field_avg,1974_sub_field_avg,1975_sub_field_avg,1976_sub_field_avg,1977_sub_field_avg,1978_sub_field_avg,1979_sub_field_avg,1980_sub_field_avg,1981_sub_field_avg,1982_sub_field_avg,1983_sub_field_avg,1984_sub_field_avg,1985_sub_field_avg,1986_sub_field_avg,1987_sub_field_avg,1988_sub_field_avg,1989_sub_field_avg,1990_sub_field_avg,1991_sub_field_avg,1992_sub_field_avg,1993_sub_field_avg,1994_sub_field_avg,1995_sub_field_avg,1996_sub_field_avg,1997_sub_field_avg,1998_sub_field_avg,1999_sub_field_avg,2000_sub_field_avg,2001_sub_field_avg,2002_sub_field_avg,2003_sub_field_avg,2004_sub_field_avg,2005_sub_field_avg,2006_sub_field_avg,2007_sub_field_avg,2008_sub_field_avg,2009_sub_field_avg,2010_sub_field_avg,2011_sub_field_avg,2012_sub_field_avg,2013_sub_field_avg,2014_sub_field_avg,2015_sub_field_avg,2016_sub_field_avg,2017_sub_field_avg,2018_sub_field_avg,2019_sub_field_avg,2020_sub_field_avg,2021_sub_field_avg,2022_sub_field_avg,2023_sub_field_avg,2024_sub_field_avg
Artificial Intelligence,https://openalex.org/subfields/1702,54.8,48.07,51.28,53.56,56.33,61.26,61.67,63.83,66.49,70.5,73.85,77.3,83.77,91.04,95.6,102.22,116.02,125.43,136.04,144.68,159.93,170.37,184.18,195.76,208.45,214.86,240.21,245.9,263.55,287.24,339.8,377.68,823.05,684.41,688.25,815.68,889.03,927.92,997.88,1070.78,1156.09,1168.11,1185.6,1218.32,1229.67,1224.86,1203.89,1210.29,1291.46,1384.96,1409.92,1397.18,1279.77,1409.99,1475.56,60.17,55.44,60.58,62.47,65.45,69.82,69.35,75.91,77.17,77.69,82.88,84.09,91.68,102.25,104.9,110.34,127.18,143.48,159.12,171.29,195.01,203.64,218.95,231.47,244.79,243.49,267.55,270.22,287.87,309.57,374.73,415.57,780.04,674.83,686.0,793.47,857.65,894.87,944.29,988.82,1056.17,1026.83,1045.92,1061.84,1064.44,1054.99,1076.49,1095.22,1212.82,1365.52,1412.4,1465.22,1320.13,1528.17,1697.45
Computational Theory and Mathematics,https://openalex.org/subfields/1703,54.8,48.07,51.28,53.56,56.33,61.26,61.67,63.83,66.49,70.5,73.85,77.3,83.77,91.04,95.6,102.22,116.02,125.43,136.04,144.68,159.93,170.37,184.18,195.76,208.45,214.86,240.21,245.9,263.55,287.24,339.8,377.68,823.05,684.41,688.25,815.68,889.03,927.92,997.88,1070.78,1156.09,1168.11,1185.6,1218.32,1229.67,1224.86,1203.89,1210.29,1291.46,1384.96,1409.92,1397.18,1279.77,1409.99,1475.56,141.71,139.33,152.0,153.46,159.83,159.38,158.33,155.75,157.54,162.83,170.42,174.75,179.92,183.08,195.79,207.62,222.54,229.83,246.88,263.21,283.42,295.42,310.58,322.33,340.25,360.46,381.12,378.12,395.92,411.08,462.33,469.33,790.33,678.71,670.58,751.08,796.58,823.79,867.17,895.71,936.46,950.0,952.29,952.58,933.83,923.17,895.33,878.96,904.08,915.83,954.58,945.88,872.42,889.29,933.67
Computer Graphics and Computer-Aided Design,https://openalex.org/subfields/1704,54.8,48.07,51.28,53.56,56.33,61.26,61.67,63.83,66.49,70.5,73.85,77.3,83.77,91.04,95.6,102.22,116.02,125.43,136.04,144.68,159.93,170.37,184.18,195.76,208.45,214.86,240.21,245.9,263.55,287.24,339.8,377.68,823.05,684.41,688.25,815.68,889.03,927.92,997.88,1070.78,1156.09,1168.11,1185.6,1218.32,1229.67,1224.86,1203.89,1210.29,1291.46,1384.96,1409.92,1397.18,1279.77,1409.99,1475.56,59.0,53.5,59.5,61.75,61.5,68.25,64.75,74.0,78.5,81.0,87.0,93.5,99.25,117.25,134.5,162.5,171.25,197.0,190.25,221.25,265.25,278.75,331.5,323.75,319.5,350.25,372.5,399.75,448.0,477.0,606.75,713.5,1155.0,1130.75,1168.5,1271.5,1364.0,1493.0,1487.25,1639.0,1703.25,1655.0,1342.25,1270.75,1260.25,1263.25,1120.75,1049.75,1065.75,1132.5,1183.5,1193.25,1138.25,1367.5,1535.25
Computer Networks and Communications,https://openalex.org/subfields/1705,54.8,48.07,51.28,53.56,56.33,61.26,61.67,63.83,66.49,70.5,73.85,77.3,83.77,91.04,95.6,102.22,116.02,125.43,136.04,144.68,159.93,170.37,184.18,195.76,208.45,214.86,240.21,245.9,263.55,287.24,339.8,377.68,823.05,684.41,688.25,815.68,889.03,927.92,997.88,1070.78,1156.09,1168.11,1185.6,1218.32,1229.67,1224.86,1203.89,1210.29,1291.46,1384.96,1409.92,1397.18,1279.77,1409.99,1475.56,57.37,49.37,50.84,52.07,58.56,66.77,69.98,69.07,73.72,83.98,90.19,95.19,105.23,117.86,122.19,131.12,152.81,163.93,169.93,178.07,193.86,208.88,227.3,248.72,271.6,278.7,309.07,330.3,348.65,380.14,422.09,458.47,1263.53,961.02,960.53,1160.44,1297.88,1305.91,1420.26,1484.91,1574.44,1557.09,1576.19,1541.0,1570.16,1485.19,1430.02,1381.49,1374.44,1368.58,1241.6,1131.81,995.53,1054.95,1157.51
Computer Science Applications,https://openalex.org/subfields/1706,54.8,48.07,51.28,53.56,56.33,61.26,61.67,63.83,66.49,70.5,73.85,77.3,83.77,91.04,95.6,102.22,116.02,125.43,136.04,144.68,159.93,170.37,184.18,195.76,208.45,214.86,240.21,245.9,263.55,287.24,339.8,377.68,823.05,684.41,688.25,815.68,889.03,927.92,997.88,1070.78,1156.09,1168.11,1185.6,1218.32,1229.67,1224.86,1203.89,1210.29,1291.46,1384.96,1409.92,1397.18,1279.77,1409.99,1475.56,50.8,33.4,40.2,41.7,46.3,45.1,55.1,44.5,51.3,44.3,40.9,48.2,50.8,60.6,73.6,68.3,79.6,77.3,81.6,81.0,76.5,78.5,84.4,92.5,100.8,110.6,134.9,140.8,163.0,166.3,191.2,221.9,295.1,319.5,372.2,420.4,441.4,486.1,531.3,598.9,689.7,726.7,838.1,935.9,1064.6,1169.8,1248.5,1292.1,1372.5,1468.3,1584.9,1348.2,1124.8,1261.8,1481.5
Computer Vision and Pattern Recognition,https://openalex.org/subfields/1707,54.8,48.07,51.28,53.56,56.33,61.26,61.67,63.83,66.49,70.5,73.85,77.3,83.77,91.04,95.6,102.22,116.02,125.43,136.04,144.68,159.93,170.37,184.18,195.76,208.45,214.86,240.21,245.9,263.55,287.24,339.8,377.68,823.05,684.41,688.25,815.68,889.03,927.92,997.88,1070.78,1156.09,1168.11,1185.6,1218.32,1229.67,1224.86,1203.89,1210.29,1291.46,1384.96,1409.92,1397.18,1279.77,1409.99,1475.56,38.2,36.89,36.63,39.94,41.06,46.26,43.26,46.17,49.51,59.54,58.91,61.46,66.2,71.49,76.63,85.86,93.51,103.46,117.77,127.94,146.6,167.4,186.14,198.69,219.09,224.77,266.57,252.11,286.69,303.63,328.37,352.8,1015.51,750.37,728.4,912.57,973.8,998.91,1076.0,1167.29,1279.74,1271.46,1297.66,1375.94,1398.03,1397.91,1372.4,1380.2,1473.69,1638.6,1576.23,1702.23,1669.91,1871.34,1904.54
Hardware and Architecture,https://openalex.org/subfields/1708,54.8,48.07,51.28,53.56,56.33,61.26,61.67,63.83,66.49,70.5,73.85,77.3,83.77,91.04,95.6,102.22,116.02,125.43,136.04,144.68,159.93,170.37,184.18,195.76,208.45,214.86,240.21,245.9,263.55,287.24,339.8,377.68,823.05,684.41,688.25,815.68,889.03,927.92,997.88,1070.78,1156.09,1168.11,1185.6,1218.32,1229.67,1224.86,1203.89,1210.29,1291.46,1384.96,1409.92,1397.18,1279.77,1409.99,1475.56,47.75,51.12,57.25,68.25,70.38,86.25,102.62,110.75,119.12,143.12,140.75,146.75,202.0,200.0,193.88,207.0,249.75,275.25,305.12,297.12,324.38,341.0,375.5,391.75,407.75,402.25,411.5,414.5,426.38,442.12,470.75,486.75,2149.0,1327.88,955.62,1179.5,1134.38,1064.12,1088.25,1148.0,1187.25,1203.75,1189.75,1182.0,1175.88,1110.62,1064.75,958.62,930.0,857.75,752.75,682.62,591.12,619.0,743.12
Human-Computer Interaction,https://openalex.org/subfields/1709,54.8,48.07,51.28,53.56,56.33,61.26,61.67,63.83,66.49,70.5,73.85,77.3,83.77,91.04,95.6,102.22,116.02,125.43,136.04,144.68,159.93,170.37,184.18,195.76,208.45,214.86,240.21,245.9,263.55,287.24,339.8,377.68,823.05,684.41,688.25,815.68,889.03,927.92,997.88,1070.78,1156.09,1168.11,1185.6,1218.32,1229.67,1224.86,1203.89,1210.29,1291.46,1384.96,1409.92,1397.18,1279.77,1409.99,1475.56,19.38,15.88,13.0,18.88,16.5,20.25,19.38,20.12,19.12,20.5,23.12,27.62,30.62,32.0,31.25,37.12,48.25,44.5,53.88,69.88,72.38,78.25,90.0,101.38,102.5,116.38,124.12,136.75,148.25,183.0,207.75,226.5,412.75,391.5,391.88,459.38,527.0,528.62,611.25,685.62,784.62,798.88,887.88,941.5,980.62,1020.25,1045.0,1027.0,1115.38,1185.88,1153.5,1130.0,1160.38,1335.12,1449.62
Information Systems,https://openalex.org/subfields/1710,54.8,48.07,51.28,53.56,56.33,61.26,61.67,63.83,66.49,70.5,73.85,77.3,83.77,91.04,95.6,102.22,116.02,125.43,136.04,144.68,159.93,170.37,184.18,195.76,208.45,214.86,240.21,245.9,263.55,287.24,339.8,377.68,823.05,684.41,688.25,815.68,889.03,927.92,997.88,1070.78,1156.09,1168.11,1185.6,1218.32,1229.67,1224.86,1203.89,1210.29,1291.46,1384.96,1409.92,1397.18,1279.77,1409.99,1475.56,34.82,22.53,23.56,24.53,25.58,29.59,28.73,29.63,31.23,31.47,33.5,36.12,37.08,41.13,44.9,47.4,54.08,56.15,59.95,61.94,66.71,67.78,72.83,78.92,85.23,92.67,110.44,121.47,130.29,155.18,225.03,284.67,420.64,459.74,520.41,600.28,684.06,773.53,855.36,967.06,1074.67,1159.24,1174.64,1249.88,1248.58,1285.63,1240.54,1296.03,1425.78,1541.45,1698.24,1651.47,1505.9,1612.45,1524.65
Signal Processing,https://openalex.org/subfields/1711,54.8,48.07,51.28,53.56,56.33,61.26,61.67,63.83,66.49,70.5,73.85,77.3,83.77,91.04,95.6,102.22,116.02,125.43,136.04,144.68,159.93,170.37,184.18,195.76,208.45,214.86,240.21,245.9,263.55,287.24,339.8,377.68,823.05,684.41,688.25,815.68,889.03,927.92,997.88,1070.78,1156.09,1168.11,1185.6,1218.32,1229.67,1224.86,1203.89,1210.29,1291.46,1384.96,1409.92,1397.18,1279.77,1409.99,1475.56,47.7,48.4,49.0,57.7,57.1,62.3,64.8,68.8,74.0,84.4,84.4,91.2,95.1,100.8,102.7,109.8,122.4,136.1,150.4,168.0,186.9,224.4,233.9,236.7,240.1,251.9,311.5,301.5,332.9,379.5,393.5,392.2,1464.7,1043.6,931.2,1271.3,1325.7,1259.5,1345.4,1411.0,1491.6,1436.7,1482.1,1508.8,1532.8,1463.3,1451.0,1389.2,1442.9,1504.4,1382.0,1352.7,1290.7,1397.0,1568.8
