sub_field_name,sub_field_id,topic_name,topic_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Artificial Intelligence,https://openalex.org/subfields/1702,Advanced Clustering Algorithms Research,https://openalex.org/T10637,16,18,23,27,21,31,22,19,28,25,29,35,29,42,32,32,32,42,39,43,47,51,45,65,50,52,78,65,97,107,107,118,291,238,338,381,471,510,600,653,712,719,830,812,882,790,896,930,937,969,860,808,710,665,757
Artificial Intelligence,https://openalex.org/subfields/1702,Advanced Computational Techniques and Applications,https://openalex.org/T13734,122,116,120,108,134,134,117,133,137,140,174,173,168,178,234,248,274,300,348,374,425,435,406,487,523,515,564,677,684,1440,3319,4957,6609,8228,9635,10961,12276,13028,12851,13149,12727,10837,8830,7275,5093,3407,1825,1492,1540,1423,1170,867,727,793,1666
Artificial Intelligence,https://openalex.org/subfields/1702,Advanced Graph Neural Networks,https://openalex.org/T11273,0,2,1,0,1,0,1,0,0,0,0,3,2,0,1,1,2,1,2,2,2,3,3,4,6,5,3,3,2,3,3,6,7,9,4,8,22,18,21,36,34,39,63,83,118,160,244,360,618,961,1384,1951,2168,2490,2356
Artificial Intelligence,https://openalex.org/subfields/1702,Advanced Software Engineering Methodologies,https://openalex.org/T10639,17,10,11,27,11,29,59,50,67,54,75,87,100,100,93,133,106,129,184,182,154,198,215,193,190,275,322,300,369,472,541,616,1848,1435,1498,1648,1731,1689,1778,1557,1655,1544,1561,1399,1259,1307,1045,828,790,693,531,500,405,336,303
Artificial Intelligence,https://openalex.org/subfields/1702,Advanced Technologies in Various Fields,https://openalex.org/T14413,3,2,0,0,0,0,0,1,0,2,1,2,2,1,1,0,2,7,1,3,1,4,0,3,1,0,3,1,3,4,8,19,18,24,17,40,39,59,66,80,107,126,156,204,168,155,113,220,252,346,605,952,1238,1225,816
Artificial Intelligence,https://openalex.org/subfields/1702,Advanced Text Analysis Techniques,https://openalex.org/T13083,101,81,73,82,85,93,63,74,59,90,87,75,90,107,97,94,93,94,99,120,126,119,122,135,131,135,150,163,163,189,207,243,420,415,422,460,610,658,758,876,912,956,1001,1183,1195,1198,1274,1279,1321,1378,1307,1142,931,988,1542
Artificial Intelligence,https://openalex.org/subfields/1702,Adversarial Robustness in Machine Learning,https://openalex.org/T11689,2,3,1,1,2,3,2,0,5,1,5,1,5,3,4,7,3,0,3,3,0,5,12,6,5,6,5,6,8,11,19,12,13,12,23,15,17,23,22,15,32,41,29,42,54,54,130,255,706,1288,1793,2478,2294,2903,2727
Artificial Intelligence,https://openalex.org/subfields/1702,AI and Multimedia in Education,https://openalex.org/T13567,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,2,0,0,2,0,1,2,10,6,7,8,5,7,9,16,15,30,26,45,38,27,19,21,47,81,232,336,439,235,137
Artificial Intelligence,https://openalex.org/subfields/1702,AI in cancer detection,https://openalex.org/T10862,30,36,21,32,23,28,38,38,40,44,35,54,70,65,45,55,65,74,84,93,100,92,173,185,136,184,250,240,247,273,281,262,444,377,411,547,589,572,657,657,815,817,916,934,962,1069,1225,1327,1715,2228,2563,2983,3416,4133,4942
Artificial Intelligence,https://openalex.org/subfields/1702,AI in Service Interactions,https://openalex.org/T12128,15,16,24,40,29,34,27,28,20,19,20,27,21,34,50,36,40,37,36,20,28,16,20,12,24,9,21,26,18,21,25,42,49,53,58,54,51,65,72,78,107,93,112,110,135,101,167,270,574,791,1126,1195,1489,2070,3498
