sub_field_name,sub_field_id,topic_name,topic_id,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Artificial Intelligence,https://openalex.org/subfields/1702,Advanced Clustering Algorithms Research,https://openalex.org/T10637,12.5,27.78,17.39,-22.22,47.62,-29.03,-13.64,47.37,-10.71,16.0,20.69,-17.14,44.83,-23.81,0.0,0.0,31.25,-7.14,10.26,9.3,8.51,-11.76,44.44,-23.08,4.0,50.0,-16.67,49.23,10.31,0.0,10.28,146.61,-18.21,42.02,12.72,23.62,8.28,17.65,8.83,9.04,0.98,15.44,-2.17,8.62,-10.43,13.42,3.79,0.75,3.42,-11.25,-6.05,-12.13,-6.34,13.83
Artificial Intelligence,https://openalex.org/subfields/1702,Advanced Computational Techniques and Applications,https://openalex.org/T13734,-4.92,3.45,-10.0,24.07,0.0,-12.69,13.68,3.01,2.19,24.29,-0.57,-2.89,5.95,31.46,5.98,10.48,9.49,16.0,7.47,13.64,2.35,-6.67,19.95,7.39,-1.53,9.51,20.04,1.03,110.53,130.49,49.35,33.33,24.5,17.1,13.76,12.0,6.13,-1.36,2.32,-3.21,-14.85,-18.52,-17.61,-29.99,-33.1,-46.43,-18.25,3.22,-7.6,-17.78,-25.9,-16.15,9.08,110.09
Artificial Intelligence,https://openalex.org/subfields/1702,Advanced Graph Neural Networks,https://openalex.org/T11273,200.0,-50.0,-100.0,100.0,-100.0,100.0,-100.0,0.0,0.0,0.0,300.0,-33.33,-100.0,100.0,0.0,100.0,-50.0,100.0,0.0,0.0,50.0,0.0,33.33,50.0,-16.67,-40.0,0.0,-33.33,50.0,0.0,100.0,16.67,28.57,-55.56,100.0,175.0,-18.18,16.67,71.43,-5.56,14.71,61.54,31.75,42.17,35.59,52.5,47.54,71.67,55.5,44.02,40.97,11.12,14.85,-5.38
Artificial Intelligence,https://openalex.org/subfields/1702,Advanced Software Engineering Methodologies,https://openalex.org/T10639,-41.18,10.0,145.45,-59.26,163.64,103.45,-15.25,34.0,-19.4,38.89,16.0,14.94,0.0,-7.0,43.01,-20.3,21.7,42.64,-1.09,-15.38,28.57,8.59,-10.23,-1.55,44.74,17.09,-6.83,23.0,27.91,14.62,13.86,200.0,-22.35,4.39,10.01,5.04,-2.43,5.27,-12.43,6.29,-6.71,1.1,-10.38,-10.01,3.81,-20.05,-20.77,-4.59,-12.28,-23.38,-5.84,-19.0,-17.04,-9.82
Artificial Intelligence,https://openalex.org/subfields/1702,Advanced Technologies in Various Fields,https://openalex.org/T14413,-33.33,-100.0,0.0,0.0,0.0,0.0,100.0,-100.0,200.0,-50.0,100.0,0.0,-50.0,0.0,-100.0,200.0,250.0,-85.71,200.0,-66.67,300.0,-100.0,300.0,-66.67,-100.0,300.0,-66.67,200.0,33.33,100.0,137.5,-5.26,33.33,-29.17,135.29,-2.5,51.28,11.86,21.21,33.75,17.76,23.81,30.77,-17.65,-7.74,-27.1,94.69,14.55,37.3,74.86,57.36,30.04,-1.05,-33.39
Artificial Intelligence,https://openalex.org/subfields/1702,Advanced Text Analysis Techniques,https://openalex.org/T13083,-19.8,-9.88,12.33,3.66,9.41,-32.26,17.46,-20.27,52.54,-3.33,-13.79,20.0,18.89,-9.35,-3.09,-1.06,1.08,5.32,21.21,5.0,-5.56,2.52,10.66,-2.96,3.05,11.11,8.67,0.0,15.95,9.52,17.39,72.84,-1.19,1.69,9.0,32.61,7.87,15.2,15.57,4.11,4.82,4.71,18.18,1.01,0.25,6.34,0.39,3.28,4.31,-5.15,-12.62,-18.48,6.12,56.07
Artificial Intelligence,https://openalex.org/subfields/1702,Adversarial Robustness in Machine Learning,https://openalex.org/T11689,50.0,-66.67,0.0,100.0,50.0,-33.33,-100.0,500.0,-80.0,400.0,-80.0,400.0,-40.0,33.33,75.0,-57.14,-100.0,300.0,0.0,-100.0,500.0,140.0,-50.0,-16.67,20.0,-16.67,20.0,33.33,37.5,72.73,-36.84,8.33,-7.69,91.67,-34.78,13.33,35.29,-4.35,-31.82,113.33,28.12,-29.27,44.83,28.57,0.0,140.74,96.15,176.86,82.44,39.21,38.2,-7.43,26.55,-6.06
Artificial Intelligence,https://openalex.org/subfields/1702,AI and Multimedia in Education,https://openalex.org/T13567,-100.0,0.0,0.0,0.0,0.0,100.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,100.0,-100.0,0.0,200.0,-100.0,0.0,0.0,200.0,-100.0,0.0,200.0,-100.0,100.0,100.0,400.0,-40.0,16.67,14.29,-37.5,40.0,28.57,77.78,-6.25,100.0,-13.33,73.08,-15.56,-28.95,-29.63,10.53,123.81,72.34,186.42,44.83,30.65,-46.47,-41.7
Artificial Intelligence,https://openalex.org/subfields/1702,AI in cancer detection,https://openalex.org/T10862,20.0,-41.67,52.38,-28.12,21.74,35.71,0.0,5.26,10.0,-20.45,54.29,29.63,-7.14,-30.77,22.22,18.18,13.85,13.51,10.71,7.53,-8.0,88.04,6.94,-26.49,35.29,35.87,-4.0,2.92,10.53,2.93,-6.76,69.47,-15.09,9.02,33.09,7.68,-2.89,14.86,0.0,24.05,0.25,12.12,1.97,3.0,11.12,14.59,8.33,29.24,29.91,15.04,16.39,14.52,20.99,19.57
Artificial Intelligence,https://openalex.org/subfields/1702,AI in Service Interactions,https://openalex.org/T12128,6.67,50.0,66.67,-27.5,17.24,-20.59,3.7,-28.57,-5.0,5.26,35.0,-22.22,61.9,47.06,-28.0,11.11,-7.5,-2.7,-44.44,40.0,-42.86,25.0,-40.0,100.0,-62.5,133.33,23.81,-30.77,16.67,19.05,68.0,16.67,8.16,9.43,-6.9,-5.56,27.45,10.77,8.33,37.18,-13.08,20.43,-1.79,22.73,-25.19,65.35,61.68,112.59,37.8,42.35,6.13,24.6,39.02,68.99
